pitch_name,stand,release_extension,release_pos_x,release_pos_y,release_pos_z,release_speed,release_spin_rate,spin_axis,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,outs_when_up,sz_top,sz_bot,swing
Slider,R,6.13,-2.868,51.77,6.208,85.51,1503.0,138.8,-0.121,3.665,-1.24,-0.856,3,2,2,3.72,1.44,1
Changeup,L,6.08,-2.702,51.05,6.144,82.66,2324.0,75.6,-0.558,4.169,0.664,0.869,0,2,0,3.9,1.45,0
4-Seam Fastball,R,5.81,-2.892,52.44,5.809,95.15,1915.0,284.9,0.666,2.267,0.011,-1.129,3,1,0,3.2,1.56,1
Cutter,R,5.93,-2.849,47.64,6.074,91.55,2860.0,241.6,-0.361,1.625,0.134,-1.674,3,0,1,3.68,1.16,1
Knuckle Curve,L,6.12,-2.867,50.95,5.842,82.08,1930.0,249.8,0.785,2.561,-1.869,-1.266,1,0,0,3.33,1.86,0
4-Seam Fastball,R,6.0,-2.74,49.55,6.054,93.11,2412.0,62.5,-0.547,4.183,1.141,1.445,0,1,0,3.73,1.39,0
Knuckle Curve,R,6.18,-2.797,48.37,6.137,82.86,1780.0,240.1,-0.937,2.515,-0.847,1.245,3,0,1,3.36,1.69,1
Changeup,R,5.82,-2.85,49.54,6.081,81.55,1873.0,24.7,-0.29,0.952,-1.705,0.809,2,0,1,3.11,1.28,0
4-Seam Fastball,L,6.52,-2.883,48.44,6.086,93.92,2387.0,211.0,-1.476,1.855,-1.436,0.768,0,2,0,3.62,1.2,0
Knuckle Curve,R,6.2,-2.742,51.24,6.287,82.52,2268.0,351.7,1.375,0.921,-1.136,0.05,1,1,1,3.84,1.44,0
4-Seam Fastball,L,6.24,-2.83,49.01,5.948,95.19,2210.0,84.5,0.656,3.48,1.44,-0.888,2,1,2,3.26,1.77,1
Slider,R,6.2,-2.786,50.83,6.12,85.97,1983.0,263.0,-0.356,3.843,-0.221,1.446,2,0,0,3.81,1.47,0
Changeup,R,5.77,-2.698,49.67,6.247,82.95,2779.0,113.5,-0.628,3.418,-0.346,-1.324,0,1,0,3.9,1.41,1
4-Seam Fastball,R,6.07,-2.839,49.02,6.067,94.39,2636.0,303.1,-1.475,2.736,1.27,1.318,1,2,0,3.87,1.24,0
Slider,R,5.97,-2.719,50.29,6.08,85.79,2021.0,275.4,-1.313,0.936,0.276,-1.577,1,0,1,3.56,1.64,0
4-Seam Fastball,R,6.31,-2.748,51.55,5.88,93.99,1712.0,216.4,0.749,1.164,0.822,-1.107,1,2,0,3.44,1.88,0
Cutter,L,6.03,-2.853,48.57,5.746,91.31,2245.0,261.6,-0.831,1.051,-1.209,-0.824,1,0,1,3.81,1.43,0
Changeup,L,6.22,-2.746,50.69,6.085,84.8,1920.0,239.7,-1.129,2.9,1.66,-0.383,2,1,0,3.29,1.57,1
Knuckle Curve,R,5.74,-2.806,48.8,5.89,82.59,1941.0,191.2,0.661,3.583,1.797,-0.047,0,0,1,3.2,1.67,0
4-Seam Fastball,R,6.27,-2.895,49.92,5.748,91.89,2408.0,279.1,0.37,3.217,-1.443,-0.585,1,0,1,3.86,1.42,0
Changeup,R,6.1,-2.985,50.48,5.529,81.28,2506.0,60.0,-1.506,2.886,1.438,0.72,1,0,0,3.71,1.39,0
Slider,R,5.78,-2.848,50.67,5.872,84.92,2403.0,301.6,0.787,2.137,1.822,-0.901,0,1,1,3.75,1.32,0
Cutter,R,5.77,-2.747,50.47,5.974,91.9,2945.0,177.7,-1.151,2.175,0.332,1.109,0,1,0,3.29,1.87,0
Slider,L,6.28,-2.643,49.76,6.27,88.69,2232.0,257.7,0.418,2.685,0.528,-0.015,0,2,0,3.18,1.28,1
Knuckle Curve,R,6.08,-2.76,52.21,5.919,83.2,2564.0,82.9,1.323,3.886,0.095,-1.918,1,1,2,3.71,1.88,0
4-Seam Fastball,R,6.35,-2.928,49.96,6.077,92.36,1900.0,260.4,-0.568,1.087,1.045,1.012,3,0,1,3.31,1.54,0
Slider,R,5.99,-2.757,47.87,5.995,89.32,1982.0,293.8,1.118,1.908,-0.092,0.332,2,2,2,3.39,1.26,1
Changeup,R,5.86,-2.688,50.07,6.216,83.28,1957.0,84.0,-1.16,2.226,-0.122,1.454,0,2,1,3.32,1.37,1
Changeup,R,5.76,-2.81,50.61,5.792,81.15,1961.0,341.4,-1.026,2.33,1.441,-0.602,1,1,2,3.76,1.23,1
4-Seam Fastball,L,5.97,-2.911,51.11,5.854,92.68,2194.0,165.8,-1.14,3.91,0.55,-1.779,2,1,1,3.2,1.72,0
Slider,R,6.11,-2.668,50.07,6.243,86.16,2352.0,267.8,-1.535,0.92,-0.691,-0.733,3,0,0,3.57,1.3,0
4-Seam Fastball,R,6.34,-2.732,51.5,6.009,95.6,2285.0,12.9,-1.116,3.358,0.648,1.958,2,1,1,3.44,1.11,1
Changeup,R,6.42,-2.789,47.07,5.94,80.9,2181.0,297.0,-0.283,1.071,0.494,0.111,2,1,2,3.43,1.19,1
Changeup,L,6.42,-2.936,50.63,5.809,81.62,1557.0,287.4,-0.028,1.789,1.11,-1.948,3,2,0,3.29,1.84,1
Cutter,R,5.92,-2.728,48.3,6.171,91.33,2567.0,233.6,-0.944,1.001,-0.652,-1.225,0,2,1,3.68,1.18,0
Knuckle Curve,R,5.97,-2.716,49.71,6.144,80.98,3200.0,165.6,-0.529,1.823,-1.577,-0.031,2,0,2,3.53,1.73,1
Knuckle Curve,R,5.81,-2.7,49.9,6.186,81.68,2223.0,180.9,-0.993,1.171,0.403,0.456,3,1,0,3.63,1.55,1
4-Seam Fastball,R,5.73,-2.71,49.93,6.3,92.64,2105.0,138.4,0.007,4.137,1.452,-0.435,2,0,1,3.7,1.26,0
4-Seam Fastball,R,5.87,-2.882,50.65,5.869,94.69,2427.0,307.3,0.505,3.081,0.73,0.993,3,2,2,3.27,1.32,1
Changeup,R,5.76,-2.914,48.77,5.948,83.86,2271.0,142.7,0.9,1.349,0.497,-1.273,1,0,1,3.24,1.25,1
4-Seam Fastball,R,5.79,-2.989,49.02,5.706,92.43,2603.0,132.7,1.47,1.355,0.596,-1.941,0,1,0,3.57,1.38,0
Slider,R,5.55,-2.804,51.65,5.865,85.63,2039.0,132.1,0.778,2.976,1.003,-1.01,1,0,2,3.38,1.78,0
Slider,L,6.18,-2.851,47.09,5.709,88.12,1644.0,271.5,-1.047,4.155,-0.406,-0.23,0,1,2,3.3,1.65,1
Changeup,L,5.76,-2.861,49.98,5.715,83.87,1487.0,134.6,-0.608,3.371,0.254,0.448,2,0,0,3.86,1.66,0
Slider,L,6.16,-2.71,47.04,6.263,86.11,2575.0,176.6,-0.427,2.606,0.078,0.775,0,0,0,3.38,1.14,1
Cutter,R,5.49,-2.772,50.14,6.135,92.05,2077.0,89.3,1.17,3.224,0.492,1.447,2,0,2,3.3,1.39,0
Cutter,R,6.73,-2.814,50.46,5.984,91.27,1965.0,281.7,0.839,1.147,-0.537,0.529,1,0,2,3.81,1.3,0
4-Seam Fastball,R,6.0,-2.639,50.2,6.05,93.31,2657.0,101.2,-1.432,1.064,-1.237,-0.314,3,0,0,3.36,1.6,0
Slider,L,5.6,-2.593,48.97,6.109,87.9,2289.0,67.5,1.364,1.054,-0.849,0.604,3,1,1,3.2,1.14,0
4-Seam Fastball,R,5.54,-2.72,50.31,6.09,93.24,2046.0,324.6,1.392,1.004,1.399,-0.88,3,0,1,3.84,1.38,0
Knuckle Curve,R,6.05,-2.834,52.63,5.849,85.29,2046.0,156.1,-1.518,1.009,1.142,0.721,1,0,1,3.41,1.14,0
4-Seam Fastball,R,6.13,-2.653,51.29,6.291,92.41,2021.0,145.8,-0.083,1.504,0.273,-0.461,0,1,0,3.37,1.35,1
